decay_interval__,noise_interval__,threshold,lf_log__,le_log__,decay,noise,lf,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5,mu_rt__6,mu_rt__7,mu_rt__8,mu_rt__9,mu_rt__10,mu_rt__11,mu_rt__12,mu_rt__13,mu_rt__14,mu_rt__15,mu_prob__0,mu_prob__1,mu_prob__2,mu_prob__3,mu_prob__4,mu_prob__5,mu_prob__6,mu_prob__7,mu_prob__8,mu_prob__9,mu_prob__10,mu_prob__11,mu_prob__12,mu_prob__13,mu_prob__14,mu_prob__15
-2.1503001751403796,-0.5942425636262112,0.6845535794664006,-1.2230248985950227,-1.6658856897945233,0.1043031762184336,1.7783100319320395,0.29433847492572973,0.189023167930052,0.542,0.5543,0.5613,0.567,0.5717,0.5765,0.5803,0.5837,0.5872,0.5903,0.5933,0.5956,0.6012,0.6092,0.6224,0.6556,0.9859065261366305,0.9760793162176753,0.9689769773263669,0.9623991300435207,0.9562559482223085,0.9494881368067307,0.9435601213991751,0.9381901510300219,0.9321320694291282,0.9264714409526549,0.9209491210569293,0.9165015210877894,0.9050047538232368,0.8873918535142422,0.8551904940093783,0.7599274033264634
-2.5439596419337387,-0.41502002616880745,0.8778923096185829,-0.9565531963825185,-1.5468718755054904,0.07283333151316401,1.988545130510118,0.38421491964595533,0.21291295143671277,0.5386,0.5519,0.5595,0.5657,0.571,0.5764,0.5807,0.5845,0.5885,0.5921,0.5955,0.5981,0.6046,0.6139,0.6294,0.6691,0.9820187598806316,0.9712020894369982,0.9637086286949925,0.9569405100875644,0.9507391242484375,0.9440184417218968,0.9382136642554859,0.9330133573867735,0.9272046856179673,0.9218275689593397,0.9166252323304283,0.9124621161840855,0.9018053773586211,0.8857253549181794,0.8569156467373948,0.7742526963140585
-0.8168532571470642,-0.6137091021795303,-3.0030561092875887,-1.9059119940383895,-1.7055048787068774,0.3064320340258721,1.756067832796265,0.14868697913084225,0.18168063633130954,0.5462,0.5588,0.5659,0.5716,0.5764,0.5812,0.5851,0.5885,0.592,0.5952,0.5981,0.6004,0.6061,0.6141,0.6273,0.6604,0.985905833407959,0.9759125820517507,0.9686541801842861,0.9619117234827711,0.9556009274716724,0.9486346529964272,0.9425226883718381,0.9369769609687707,0.9307172045287138,0.9248614840330979,0.9191364943754499,0.9145301609350072,0.9025998144943223,0.8842904315940848,0.8507389749631565,0.7511844801722295
-1.3063275123213898,-0.4303109061274077,-1.7970393478156785,-1.5506907498712756,-1.6085812235005141,0.21310203308039247,1.9702604625006335,0.21210141418999623,0.20017141119927256,0.5414,0.5544,0.5618,0.5678,0.5729,0.578,0.5822,0.5858,0.5896,0.593,0.5962,0.5987,0.6048,0.6136,0.628,0.665,0.9829797122320948,0.972604028542077,0.9653863044029439,0.9588500934781191,0.9528488735356606,0.946332628656755,0.9406949156676098,0.9356360564735444,0.9299804662992647,0.9247382472612787,0.919656331355528,0.915590558338392,0.9051615005622341,0.8893851641691178,0.8610099070935374,0.7789227379289678
-3.2197073375828484,-0.5604146235475721,1.9005366851299283,-0.7557627409930028,-1.5313932343142864,0.038430799050468895,1.817257646293877,0.4696522550527185,0.216234192455362,0.5404,0.5543,0.5624,0.5689,0.5745,0.5801,0.5848,0.5887,0.593,0.5968,0.6004,0.6032,0.6101,0.6199,0.6363,0.6786,0.984823150617781,0.9745488469113803,0.9671902076959223,0.9604122488102441,0.9541088356211143,0.9471902576904518,0.9411496098375073,0.935692249831781,0.9295488498947999,0.9238213741996356,0.9182470352151995,0.9137623362657918,0.9022007768206468,0.8845578768990012,0.8524794930461925,0.7585008956758487
-1.3858353882493872,-0.558063783407009,-1.0974121441863176,-1.4421589748693868,-1.4949736560002571,0.2000734457708761,1.819977905658653,0.23641678938867502,0.22425451241353636,0.5358,0.5492,0.557,0.5633,0.5687,0.5742,0.5788,0.5826,0.5868,0.5906,0.5941,0.5968,0.6036,0.6133,0.6296,0.672,0.9843372710078221,0.9737609208157898,0.9661930985828908,0.9592266677775539,0.952751540406388,0.9456475478342224,0.9394476331795538,0.9338468162999536,0.9275472774657663,0.9216759772480393,0.9159578463620347,0.911365121141276,0.8995218438137,0.8814610064701828,0.8486565635279281,0.7527700539306101
-1.0883680897787589,-0.6570380144496457,-1.9784820418316702,-1.7335048013172487,-1.7422486108263315,0.25192570227020133,1.707026470247615,0.17666415091358587,0.17512616694908634,0.5478,0.5602,0.5671,0.5727,0.5774,0.5821,0.5859,0.5891,0.5926,0.5956,0.5985,0.6007,0.6062,0.6139,0.6265,0.658,0.9874232641185774,0.9781520572019283,0.9713352977862127,0.9649560109264191,0.9589506906427824,0.9522883814832389,0.9464176318954717,0.94107270784463,0.9350191859557571,0.9293392934137371,0.9237731598274684,0.9192825326055485,0.9076162921886748,0.8896169837915636,0.8563857402611224,0.7564658032361312
-0.6549010799687313,-0.4579972662934626,-4.069738951093339,-2.030231603387218,-1.5270322287098226,0.3418859416054044,1.937305176815378,0.13130510691908825,0.21717925018377396,0.5375,0.5508,0.5586,0.5648,0.5702,0.5756,0.58,0.5839,0.588,0.5916,0.5951,0.5977,0.6044,0.6139,0.6298,0.6709,0.9830837395784481,0.9725430672010593,0.9651660549125117,0.9584615863845584,0.9522893481799706,0.9455715817492288,0.9397479496510026,0.9345129462455041,0.928654511205818,0.9232169783269822,0.9179356554938226,0.9137110943337933,0.9028543670034517,0.8863962033989914,0.856711933097051,0.7705001266651946
-2.7167560926290206,-0.6721840019326824,1.6927977443403965,-0.980947363280753,-1.5961348916011897,0.061991827917808155,1.6900398942709203,0.37495571126464367,0.2026783799392747,0.54,0.5529,0.5603,0.5663,0.5713,0.5764,0.5806,0.5841,0.588,0.5914,0.5946,0.597,0.6032,0.6119,0.6263,0.6632,0.9872061560384531,0.9776587454548472,0.9706162061736172,0.9640145559792679,0.9577924584195386,0.9508839972018993,0.944792519496319,0.9392461568067428,0.9329588369489036,0.9270585758026973,0.9212824019572672,0.916614411216892,0.9044973551793365,0.8858090085306807,0.8513471021317893,0.7482729406918428
-2.748648535471275,-0.6186994439666192,1.6174158950297752,-1.0087971134361866,-1.6443433861767092,0.06016302120840069,1.7503865017442641,0.36465735729481363,0.19313933912755263,0.5432,0.5561,0.5634,0.5693,0.5743,0.5793,0.5834,0.5869,0.5906,0.5939,0.597,0.5994,0.6054,0.6138,0.6278,0.663,0.9860593477987712,0.9761369882713347,0.9689234411813273,0.9622198409017803,0.9559433020665309,0.9490139946090226,0.9429338401518019,0.9374190431843987,0.9311892963485201,0.9253620604219744,0.91967356731514,0.9150870658896432,0.9032216303064047,0.8850178781974751,0.8516843144012209,0.7530067525565025
-1.073981775277461,-0.5888329811632298,-2.0654111992786937,-1.7041899788598753,-1.6137572793829789,0.2546465983793939,1.7845133369731947,0.18191968530050912,0.19913798962000204,0.5418,0.5548,0.5623,0.5683,0.5734,0.5785,0.5827,0.5863,0.5901,0.5935,0.5967,0.5992,0.6053,0.6141,0.6285,0.6654,0.9851396053731122,0.9748341024498033,0.96740052512414,0.96052443834159,0.9541095326239901,0.94704872592309,0.940869284570661,0.9352740463247514,0.9289690564246128,0.9230813905722985,0.9173358403498446,0.9127168653857036,0.9007790578850743,0.882514831102633,0.8491922524807453,0.7510732724712831
-1.4377708807558596,-0.5343570341641422,-1.031126449135256,-1.4912102141594457,-1.5883622338549914,0.1918907778127996,1.8475062678837981,0.2251000713364534,0.20425986783916414,0.5386,0.5512,0.5585,0.5644,0.5694,0.5744,0.5785,0.582,0.5858,0.5892,0.5923,0.5948,0.6008,0.6095,0.6238,0.6604,0.9841104478262683,0.97358785300288,0.9660997537271775,0.9592286794603537,0.952857387793774,0.9458813869577173,0.9398034441042572,0.9343200494778651,0.9281595951058115,0.9224240231992362,0.9168434000869483,0.9123640686507402,0.900825386383221,0.8832559573763484,0.8514021973497528,0.7584532024534015
-1.6913155966138695,-0.61952387219715,-0.23901528133985295,-1.2483250172567908,-1.489501751054233,0.15560290471171645,1.7494487350253376,0.2869850895794947,0.22548497520672023,0.5357,0.5491,0.5569,0.5633,0.5688,0.5743,0.5788,0.5827,0.587,0.5907,0.5943,0.597,0.6039,0.6136,0.63,0.6727,0.9865310992069776,0.9769291072509759,0.9699424377463116,0.9634453114204129,0.9573585913863264,0.9506346741671746,0.9447313031170156,0.9393732293654758,0.933319233181908,0.9276533090653325,0.9221163583791497,0.9176537727101969,0.9060962058349777,0.8883418605743054,0.855759804505969,0.7587715881060615
-3.007655995024191,-0.6340890870276351,1.9420654412709382,-0.9449707351994527,-1.631857425850193,0.04708119684985662,1.7329196440495833,0.38869094569831203,0.19556598724347893,0.5428,0.5558,0.5631,0.5691,0.5741,0.5792,0.5833,0.5869,0.5906,0.594,0.5972,0.5996,0.6056,0.6142,0.6284,0.6643,0.9860373316656457,0.9759706472823055,0.9686254363857143,0.9617853255257862,0.9553712296500921,0.9482812169569523,0.9420536865264688,0.9364009945800386,0.9300109482051138,0.924030258547675,0.9181895921495661,0.9134780823998186,0.9012838067275982,0.882563042663688,0.8482633120319951,0.7467975681167431
-2.1741945194733914,-0.6720721877122409,0.9258701890889428,-1.0597298046883723,-1.5139947030112713,0.10209188322680036,1.6901649934955054,0.34654943371342484,0.22002926846281398,0.536,0.5492,0.5568,0.5631,0.5683,0.5737,0.5781,0.5819,0.586,0.5896,0.593,0.5957,0.6023,0.6117,0.6274,0.6682,0.9872737538131042,0.9777762660509529,0.9707699470491917,0.9642016908791382,0.9580106306587508,0.9511359739256636,0.9450737661363353,0.9395532285758389,0.9332954553448951,0.9274223632355226,0.9216709155086584,0.9170241743924551,0.9049587815005526,0.8863457269265929,0.8520084188298539,0.7491940928805553
-1.2674414537593959,-0.6765329923664403,-1.2931968630438482,-1.5309654392751642,-1.5514496654448338,0.2196955475981764,1.685177707623392,0.21632671615936272,0.21194050818835186,0.5397,0.5532,0.561,0.5673,0.5726,0.578,0.5825,0.5863,0.5904,0.594,0.5974,0.6001,0.6067,0.6161,0.6318,0.6721,0.9875094756739435,0.9781462740686006,0.9712279928091055,0.9647354376630131,0.9586107028873059,0.9518041818842359,0.9457977728073115,0.9403236897926548,0.9341173395938376,0.9282891193173609,0.9225746655774764,0.9179604980240544,0.9059657678362671,0.887439922599001,0.8532002990770786,0.7502639784281034
-1.1770664204942936,-0.6099900937088559,-1.6458266347167676,-1.6238947427104038,-1.575279429642319,0.23558007154855354,1.7603072884079771,0.19712943358597182,0.2069497167156675,0.5397,0.5528,0.5603,0.5664,0.5716,0.5768,0.5811,0.5847,0.5887,0.5922,0.5954,0.598,0.6043,0.6133,0.6283,0.6667,0.9854489509119762,0.9751750500829964,0.9677252839949446,0.9608130663801973,0.9543495522882394,0.9472213723968405,0.9409727097545655,0.9353077576474874,0.9289165325756457,0.9229421209182475,0.9171073659216992,0.9124125017485067,0.9002671138331498,0.8816566364628323,0.8476385212283509,0.7472734645847292
-3.0672163336862766,-0.638618763573578,1.9216351288303914,-0.9512744387539774,-1.6273967060086303,0.04447998772905211,1.7277941823971865,0.3862484596443304,0.19644030090750628,0.5413,0.554,0.5613,0.5671,0.5721,0.577,0.5811,0.5846,0.5883,0.5916,0.5947,0.5971,0.603,0.6115,0.6254,0.6607,0.9867478599695207,0.9771449878445339,0.9701242066067887,0.9635773237950287,0.9574311508314839,0.9506299555178679,0.9446501141500253,0.9392176424307794,0.9330713865200703,0.9273141224873427,0.9216874326200988,0.9171454004393946,0.9053776812922205,0.8872787482333102,0.8540199244154285,0.7549459305719324
-0.591485702810045,-0.4251352868020844,-4.421410607445806,-2.1195378647497605,-1.7007105600526844,0.35629403774829965,1.9764428823857023,0.12008711217762705,0.18255376254539057,0.543,0.555,0.5619,0.5673,0.5719,0.5766,0.5803,0.5835,0.5869,0.59,0.5928,0.595,0.6005,0.6082,0.6208,0.6527,0.9824573975890953,0.9718063034164186,0.9644047644063902,0.9577059482716164,0.9515583001040268,0.9448852025823026,0.9391134486668358,0.9339341896219174,0.9281477145756203,0.9227849330713986,0.9175824637523499,0.9134258702098748,0.9027592425489533,0.8866270173961337,0.8576189187062875,0.7737290273989132
-1.9919411883601257,-0.5530625838954739,0.30326032343719617,-1.3794145032386982,-1.7634175010692357,0.12005164549572894,1.8257707922228428,0.2517258946175793,0.17145790385640955,0.5445,0.556,0.5625,0.5676,0.572,0.5763,0.5798,0.5828,0.586,0.5888,0.5914,0.5935,0.5985,0.6055,0.6171,0.6458,0.9849865575845639,0.9748797191188671,0.96765112604145,0.9609977778248414,0.9548134584579033,0.9480280171428493,0.9421052419274782,0.9367546039021161,0.9307337109723276,0.9251208952142403,0.9196557890848587,0.9152622121838577,0.9039317002814963,0.8866392447756423,0.8551833704760382,0.7628313775826975
-1.0147213406808837,-0.5954178958287801,-2.26595206529801,-1.7346781253458488,-1.579701217742222,0.26605689390991905,1.7769635264228756,0.17645698817860067,0.20603664910447164,0.5404,0.5535,0.5611,0.5673,0.5725,0.5777,0.582,0.5857,0.5896,0.5932,0.5965,0.599,0.6054,0.6144,0.6295,0.668,0.9853008324696461,0.9750483659494664,0.9676400956881146,0.9607801943333198,0.9543752251406634,0.9473203817017523,0.9411424177631539,0.9355457153529706,0.9292365206308023,0.9233424793873428,0.917588230934422,0.9129613305725242,0.900997243135659,0.8826799900051894,0.8492285971592611,0.7505778305635178
