freq,function,item,label,position,word
1039471.875,Vt,7,obj_ext,10,was
6961417.875,Det,8,obj_ext,1,The
1107.0,N,8,obj_ext,2,businessman
232455.375,wh,8,obj_ext,3,who
6961417.875,Det,8,obj_ext,4,the
679.5,N,8,obj_ext,5,banker
4205.25,Vd,8,obj_ext,6,recommended
2880389.25,P,8,obj_ext,7,to
6961417.875,Det,8,obj_ext,8,the
45132.75,N,8,obj_ext,9,company
291873.375,Vt,8,obj_ext,10,has
6961417.875,Det,9,obj_ext,1,The
2293.875,N,9,obj_ext,2,actor
232455.375,wh,9,obj_ext,3,who
6961417.875,Det,9,obj_ext,4,the
672.75,N,9,obj_ext,5,dancer
7858.125,Vd,9,obj_ext,6,mentioned
2880389.25,P,9,obj_ext,7,to
6961417.875,Det,9,obj_ext,8,the
13692.375,N,9,obj_ext,9,director
287097.75,Vt,9,obj_ext,10,would
6961417.875,Det,10,obj_ext,1,The
56.25,N,10,obj_ext,2,protester
232455.375,wh,10,obj_ext,3,who
6961417.875,Det,10,obj_ext,4,the
8616.375,N,10,obj_ext,5,student
437.625,Vd,10,obj_ext,6,shoved
183903.75,P,10,obj_ext,7,into
6961417.875,Det,10,obj_ext,8,the
4966.875,N,10,obj_ext,9,crowd
1039471.875,Vt,10,obj_ext,10,was
6961417.875,Det,11,obj_ext,1,The
32.625,N,11,obj_ext,2,intern
232455.375,wh,11,obj_ext,3,who
6961417.875,Det,11,obj_ext,4,the
4183.875,N,11,obj_ext,5,assistant
1374.75,Vd,11,obj_ext,6,assigned
2880389.25,P,11,obj_ext,7,to
6961417.875,Det,11,obj_ext,8,the
17116.875,N,11,obj_ext,9,project
286386.75,Vt,11,obj_ext,10,will
6961417.875,Det,12,obj_ext,1,The
27.0,N,12,obj_ext,2,firefighter
232455.375,wh,12,obj_ext,3,who
6961417.875,Det,12,obj_ext,4,the
187.875,N,12,obj_ext,5,policewoman
3951.0,Vd,12,obj_ext,6,directed
2880389.25,P,12,obj_ext,7,to
6961417.875,Det,12,obj_ext,8,the
7654.5,N,12,obj_ext,9,scene
1039471.875,Vt,12,obj_ext,10,was
6961417.875,Det,13,obj_ext,1,The
1872.0,N,13,obj_ext,2,prisoner
232455.375,wh,13,obj_ext,3,who
6961417.875,Det,13,obj_ext,4,the
3438.0,N,13,obj_ext,5,guard
437.625,Vd,13,obj_ext,6,shoved
183903.75,P,13,obj_ext,7,into
6961417.875,Det,13,obj_ext,8,the
13538.25,N,13,obj_ext,9,wall
291873.375,Vt,13,obj_ext,10,has
6961417.875,Det,14,obj_ext,1,The
15.75,N,14,obj_ext,2,cheerleader
232455.375,wh,14,obj_ext,3,who
6961417.875,Det,14,obj_ext,4,the
65.25,N,14,obj_ext,5,quarterback
44055.0,Vd,14,obj_ext,6,took
2880389.25,P,14,obj_ext,7,to
6961417.875,Det,14,obj_ext,8,the
45344.25,N,14,obj_ext,9,party
291873.375,Vt,14,obj_ext,10,has
6961417.875,Det,15,obj_ext,1,The
5245.875,N,15,obj_ext,2,customer
232455.375,wh,15,obj_ext,3,who
6961417.875,Det,15,obj_ext,4,the
2196.0,N,15,obj_ext,5,clerk
5689.125,Vd,15,obj_ext,6,pushed
183903.75,P,15,obj_ext,7,into
6961417.875,Det,15,obj_ext,8,the
8240.625,N,15,obj_ext,9,clothes
840.375,Vt,15,obj_ext,10,rack
6961417.875,Det,16,obj_ext,1,The
243.0,N,16,obj_ext,2,plumber
232455.375,wh,16,obj_ext,3,who
6961417.875,Det,16,obj_ext,4,the
534.375,N,16,obj_ext,5,carpenter
4172.625,Vd,16,obj_ext,6,drove
2880389.25,P,16,obj_ext,7,to
6961417.875,Det,16,obj_ext,8,the
5.625,N,16,obj_ext,9,worksite
75341.25,Vt,16,obj_ext,10,used
