logRTresid,quant
-0.19662284221027,each
0.449187165806914,each
0.282066681987345,each
-0.152356771618808,every
-0.19538988670825,every
0.326401953508341,each
-0.320408490738865,each
-0.239029024732128,each
-0.314389223396903,every
-0.241582084097598,every
-0.104380962584119,each
-0.273728557977938,every
0.033297589561119,every
0.276869043548218,every
0.292860882722244,each
0.007895736903816,each
-0.241091471123766,each
-0.046009473550672,each
-0.096019894125332,every
-0.148663627610752,each
0.122950217789543,every
0.103226647650581,each
0.261248529439564,every
-0.001610651611227,each
-0.190051107255923,every
-0.378103338758863,every
-0.200836859304347,every
1.19278354190761,each
-0.359901553934037,each
0.020588680348102,each
0.288868870392254,each
-0.197939778243861,each
-0.106885838936282,every
0.223174055323653,each
0.096338429496038,every
0.080946475764731,every
0.06272401224349,every
0.243390766309752,each
-0.31457021889798,every
0.216341565459113,each
-0.212188815580047,every
-0.284995954879352,every
0.453073161490363,each
-0.441184703117706,every
-0.210587973108693,each
-0.226236698568049,every
-0.251905557560776,each
0.203161615652743,each
-0.081464228844763,every
-0.102483157173217,every
0.191454629084989,each
-0.164949275415841,each
-0.17970872134312,each
-0.253306046907797,every
-0.075354489784967,each
-0.012988167673935,every
-0.043589223699338,each
-0.040023945318956,every
0.019483379755733,every
0.037299894120067,every
-0.14453131448656,each
0.110744735450068,each
-0.138299544296301,each
0.092542950625242,every
-0.127763719353768,each
0.451702925311477,each
-0.193954923933458,each
-0.131929837753818,each
-0.075211909886752,every
0.278791318784596,every
-0.078114669544712,every
-0.401410125380772,every
-0.617621816866444,every
-0.58122966420076,each
-0.107767336828621,each
-0.299892308748567,every
0.139658423602892,each
-0.071654625437264,every
0.317570318835128,each
-0.038768288929518,each
0.076597244348958,each
-0.044616258811939,every
-0.038768288929518,every
-0.098178653088142,each
-0.17152594739761,every
-0.131458824098465,every
-0.0026274109358,each
0.448321062119969,each
-0.23766574990216,every
-0.226131301872089,every
0.544905491025541,each
-0.0026274109358,each
-0.247356845059076,every
0.411179273538234,each
-0.297781608726511,every
0.171465789599807,every
0.301125627127848,each
-0.101723860721618,each
0.009070379832989,every
0.11898106205163,every
-0.572513055481743,every
-0.237430629038957,each
0.308068710260691,each
0.19836979300426,every
-0.092141364398279,each
0.242702216749898,every
-0.098184944743294,every
-0.06230507803621,each
-0.125386189038466,each
-0.341898677598289,every
-0.061230769758311,each
