le_log__,le,mu_rt__0,mu_rt__1,mu_rt__2,mu_rt__3,mu_rt__4,mu_rt__5
-2.7856809050944435,0.06168707168629766,354.8,406.39999999999964,428.79999999999984,355.80000000000035,428.79999999999984,387.50000000000017
-3.0196524313316746,0.048818183084523924,350.8,397.0000000000002,419.30000000000024,361.9000000000003,419.30000000000024,387.50000000000017
-3.0196524313316746,0.048818183084523924,352.50000000000006,396.9999999999998,419.30000000000024,361.9000000000003,419.30000000000024,387.50000000000017
-3.9351101786189053,0.019543545927948776,357.0000000000002,377.69999999999993,399.80000000000035,377.0000000000007,399.79999999999995,387.80000000000035
-4.366977019391839,0.012689542887327323,349.20000000000016,373.49999999999994,395.4999999999997,380.70000000000005,395.50000000000017,387.80000000000035
-4.2743030894418865,0.013921747551791801,353.89999999999986,374.2000000000001,396.29999999999967,379.9999999999999,396.30000000000007,387.80000000000035
-4.2743030894418865,0.013921747551791801,359.3999999999999,374.2000000000001,396.3000000000005,379.9999999999999,396.29999999999967,387.7999999999995
-4.055116117862462,0.017333467341428217,356.1999999999999,376.2999999999996,398.40000000000055,378.20000000000056,398.3999999999992,387.80000000000035
-3.5924309458110195,0.027531321857610633,352.9,382.80000000000047,404.90000000000003,372.70000000000005,404.90000000000003,387.6999999999997
-3.5924309458110195,0.027531321857610633,348.9999999999998,382.80000000000047,404.8999999999996,372.70000000000005,404.9000000000005,387.7000000000006
-3.512345493021776,0.029826873604992987,350.40000000000003,384.1999999999999,406.39999999999964,371.50000000000017,406.4000000000001,387.7000000000006
-2.769986171640309,0.06266287126088495,349.49999999999994,407.10000000000025,429.5,355.3999999999995,429.5,387.50000000000017
-3.356854119883194,0.034844703965401354,348.7,387.50000000000017,409.7000000000004,368.9,409.7000000000004,387.7000000000006
-3.356854119883194,0.034844703965401354,355.7000000000001,387.50000000000017,409.69999999999993,368.9,409.7000000000004,387.7000000000006
-3.356854119883194,0.034844703965401354,349.89999999999986,387.50000000000017,409.69999999999993,368.9,409.7000000000004,387.6999999999997
-2.9275935397157773,0.05352569073337445,347.9999999999999,400.4000000000003,422.6999999999999,359.70000000000016,422.6999999999994,387.50000000000017
-2.9275935397157773,0.05352569073337445,353.69999999999993,400.4000000000003,422.6999999999999,359.70000000000016,422.69999999999897,387.4999999999993
-4.013007212144932,0.018078946181379854,351.7999999999999,376.6999999999996,398.7999999999996,377.79999999999967,398.7999999999996,387.80000000000035
-2.7373232237839042,0.06474341879603358,351.3000000000002,408.6000000000003,431.00000000000006,354.3999999999992,431.00000000000006,387.50000000000017
-2.7373232237839042,0.06474341879603358,350.0000000000001,408.59999999999985,431.00000000000006,354.40000000000003,431.0000000000005,387.50000000000017
-3.107215285641196,0.044725329353704595,353.89999999999986,394.2000000000001,416.5000000000005,363.89999999999924,416.5000000000005,387.59999999999997
-3.107215285641196,0.044725329353704595,355.7999999999999,394.2000000000001,416.49999999999966,363.9000000000001,416.5000000000001,387.59999999999997
-3.107215285641196,0.044725329353704595,351.09999999999974,394.2000000000001,416.5000000000005,363.9000000000001,416.49999999999966,387.59999999999997
-2.539130336377011,0.07893501686220986,351.7999999999999,419.69999999999976,442.1999999999997,350.4999999999994,442.20000000000016,387.3999999999995
-3.265625257113725,0.0381730596432187,352.2000000000003,389.69999999999993,411.90000000000015,367.2000000000004,411.90000000000015,387.6999999999997
-3.435480292387554,0.032209936328992966,352.5999999999998,385.69999999999993,407.90000000000015,370.19999999999965,407.90000000000015,387.6999999999997
-3.146859773309624,0.04298690376381853,352.80000000000024,393.0000000000002,415.2,364.70000000000005,415.1999999999996,387.59999999999997
-3.146859773309624,0.04298690376381853,350.49999999999983,393.0000000000002,415.2,364.70000000000005,415.2,387.59999999999997
